id,created_at,name,category,serial_number,daily_price,purchase_price,purchase_date,status,notes,updated_at,article,image_url,maintenance_interval_days,work_days_count,last_maintenance_date,user_id,total_work_days
d7adf447-9b4d-4faa-bb2e-3c9e9483d8f6,2026-07-14 14:09:42.659+00,Красный Маяк ЭПК - 1300 У2 вибратор для бетона,electric_tools,ТУ 4833-009-00239942-2012,1500,30000,1782864000000,available,Диаметр булавы 51 длинна вала 3м мощьность - 1.3квт,2026-07-14 14:13:33.325+00,Et-10,/uploads/1784038198209_ol98dk.webp,30,0,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,0
a48e2f7d-fa7a-4ab2-9b74-d6e5743e78a1,2026-03-24 11:07:33.326+00,Бензопила Champion 125T,gas_tools,060240702142,800,10000,1761350400000,available,,2026-07-16 13:54:13.619+00,Gt-03,/uploads/1774350906988_go0stj.webp,30,2,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,2
a9454878-21bf-4bb3-9ef0-3d6d3ec73463,2026-05-04 05:58:06.825+00,УШМ Metabo W2000-230,electric_tools,1070732430,700,15000,1754524800000,available,,2026-07-26 09:34:14.027+00,Et-01,/uploads/1777876568385_f80go.webp,30,0,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,0
305c251d-ebb3-4055-8be3-d74b8a5f9f71,2026-05-04 09:09:48.179+00,"Отбойный молоток Ресанта ом-1600М, 1600Вт, 25Дж",electric_tools,DES038230N02009241100453,1000,15000,1777334400000,available,"💪 Преимуществa:
✔️ Mощнoсть: 1600 Вт
✔️ Энeргия удара: 25 Дж
✔️ Чacтoта удаpoв: 4100 уд/мин
✔️ Патpoн SDS-МAX
✔️ Антивибрaционная системa",2026-05-04 09:09:48.179+00,Et-02,/uploads/1777885801050_hoi8l.webp,30,4,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,4
e9be6ddc-92f2-4610-9448-8f6682f3195d,2026-03-07 09:40:31.722+00,Бензотриммер Чемпион Т528S-2,gas_tools,3903250306999,800,11000,1762473600000,available,,2026-07-16 13:55:59.353+00,Gt-02,/uploads/1772876506116_ieewyh.jpg,30,4,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,4
193f9fb5-2f1c-4543-91c8-a7ef7754a9fe,2026-07-17 10:39:19.239+00,Штроборез ЗШ-П30-1400 ПСТ 1400ВТ,electric_tools,1519307283-0325,800,12000,1784160000000,available,"Глубина штробы - 0-30
ширина штробы 3-30",2026-07-17 10:39:34.85+00,Et-11,/uploads/1784284771434_eniumg.webp,30,0,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,0
95d82151-a594-4190-a675-6dfaa2473952,2026-05-12 15:08:41.625+00,"Отбойный молоток Ресанта ОМ-1800Э ",electric_tools,DES038230N01008241101085,1500,25000,1778457600000,available,70 Джоулей,2026-05-13 05:27:43.755+00,Et-05,/uploads/1778598583082_d35dp9.webp,30,6,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,6
366f83b2-8970-42ec-a88f-2e0de566b708,2026-02-08 06:00:43.621+00,"Бензопила Штиль 180 ",electric_tools,222222,1000,31000,1769385600000,available,Hello,2026-06-18 07:51:15.962+00,Et-01,/uploads/1781769074260_yzddjc.webp,30,9,2026-02-15 11:48:37.293+00,eab0c5cb-80fc-499b-8497-7946cac6bc08,9
7e24ef6a-23e6-4a9c-9938-51a24cd78327,2026-02-09 10:07:02.444+00,Бензобур Tss,gas_tools,333333,1500,35000,1769472000000,rented,test 2,2026-06-18 07:46:52.913+00,Gt-02,/uploads/1781768808503_0dz3gq.webp,30,1,2026-05-31 08:20:59.302+00,eab0c5cb-80fc-499b-8497-7946cac6bc08,23
05a475b3-80cb-4a78-ad8a-7b6cb1227858,2026-06-19 09:51:15.325+00,Строительный пылесос Bort BSS-1630-STORM,electric_tools,ZZE000011542-25003-01647/2025,800,15000,1778716800000,available,,2026-06-19 09:52:53.379+00,Et-07,/uploads/1781862771277_txkwdr.webp,30,0,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,0
